intent_probability,intent_level,action,message,cost_eur,top_reasons,true_label,true_numeric
0.002,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.534)"", ""'Month_May' decreased the purchase chance (SHAP = -1.936)"", ""'ExitRates' decreased the purchase chance (SHAP = -1.249)""]",BROWSER,0
0.0765,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.393)"", ""'Informational_Duration' decreased the purchase chance (SHAP = -0.463)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.437)""]",BROWSER,0
0.0062,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.739)"", ""'Month_Mar' decreased the purchase chance (SHAP = -1.804)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.316)""]",BROWSER,0
0.9823,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +3.593)"", ""'Month_May' decreased the purchase chance (SHAP = -0.819)"", ""'Administrative_Duration' increased the purchase chance (SHAP = +0.350)""]",BUYER,1
0.122,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.528)"", ""'OperatingSystems_4' decreased the purchase chance (SHAP = -0.655)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.293)""]",BROWSER,0
0.0041,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.347)"", ""'Month_May' decreased the purchase chance (SHAP = -2.112)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.482)""]",BROWSER,0
0.0039,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.556)"", ""'Month_May' decreased the purchase chance (SHAP = -2.026)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.435)""]",BROWSER,0
0.0044,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.860)"", ""'Month_May' decreased the purchase chance (SHAP = -2.352)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.333)""]",BROWSER,0
0.0949,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.127)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.245)"", ""'Month_May' increased the purchase chance (SHAP = +0.233)""]",BROWSER,0
0.0197,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.027)"", ""'Month_Mar' decreased the purchase chance (SHAP = -1.935)"", ""'TrafficType_8' increased the purchase chance (SHAP = +0.568)""]",BROWSER,0
0.0046,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.644)"", ""'Month_May' decreased the purchase chance (SHAP = -2.096)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.270)""]",BROWSER,0
0.2432,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.355)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.406)"", ""'Month_May' increased the purchase chance (SHAP = +0.346)""]",BROWSER,0
0.0309,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.749)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.668)"", ""'OperatingSystems_4' decreased the purchase chance (SHAP = -0.660)""]",BROWSER,0
0.0083,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'ExitRates' decreased the purchase chance (SHAP = -2.380)"", ""'PageValues' decreased the purchase chance (SHAP = -1.880)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.347)""]",BROWSER,0
0.0655,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.066)"", ""'Month_Oct' decreased the purchase chance (SHAP = -0.343)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.338)""]",BROWSER,0
0.003,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.577)"", ""'Month_May' decreased the purchase chance (SHAP = -2.079)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.739)""]",BROWSER,0
0.2629,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.604)"", ""'Month_May' increased the purchase chance (SHAP = +0.337)"", ""'Administrative' increased the purchase chance (SHAP = +0.313)""]",BROWSER,0
0.0042,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.954)"", ""'Month_May' decreased the purchase chance (SHAP = -2.209)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.302)""]",BROWSER,0
0.0018,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.646)"", ""'Month_May' decreased the purchase chance (SHAP = -1.854)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.988)""]",BROWSER,0
0.0899,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.964)"", ""'TrafficType_3' decreased the purchase chance (SHAP = -0.512)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.359)""]",BROWSER,0
0.1733,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.503)"", ""'Month_May' increased the purchase chance (SHAP = +0.336)"", ""'Month_Mar' increased the purchase chance (SHAP = +0.255)""]",BROWSER,0
0.9125,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +2.834)"", ""'Month_May' decreased the purchase chance (SHAP = -0.802)"", ""'Administrative' increased the purchase chance (SHAP = +0.268)""]",BUYER,1
0.0876,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.921)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.507)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.464)""]",BROWSER,0
0.0069,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.333)"", ""'Month_Mar' decreased the purchase chance (SHAP = -2.265)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.367)""]",BROWSER,0
0.92,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +2.307)"", ""'VisitorType_Returning_Visitor' increased the purchase chance (SHAP = +0.326)"", ""'Month_Oct' decreased the purchase chance (SHAP = -0.237)""]",BUYER,1
0.0033,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -3.076)"", ""'Month_May' decreased the purchase chance (SHAP = -2.107)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.322)""]",BROWSER,0
0.1795,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.458)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.433)"", ""'Region_4' decreased the purchase chance (SHAP = -0.276)""]",BROWSER,0
0.1162,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.411)"", ""'Administrative_Duration' decreased the purchase chance (SHAP = -0.353)"", ""'Month_May' increased the purchase chance (SHAP = +0.342)""]",BROWSER,0
0.445,MEDIUM,10% Personalised Discount Coupon,Send a discount code to the user's registered email.,5.0,"[""'PageValues' increased the purchase chance (SHAP = +2.766)"", ""'Month_May' decreased the purchase chance (SHAP = -0.915)"", ""'BounceRates' decreased the purchase chance (SHAP = -0.549)""]",BUYER,1
0.2136,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.245)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.593)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.492)""]",BROWSER,0
0.0049,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.944)"", ""'Month_May' decreased the purchase chance (SHAP = -2.059)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.234)""]",BROWSER,0
0.0052,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.499)"", ""'Month_May' decreased the purchase chance (SHAP = -2.415)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.299)""]",BROWSER,0
0.8739,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +1.530)"", ""'BounceRates' increased the purchase chance (SHAP = +0.316)"", ""'Administrative' increased the purchase chance (SHAP = +0.215)""]",BUYER,1
0.0498,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.898)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.291)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.289)""]",BROWSER,0
0.0018,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.689)"", ""'Month_May' decreased the purchase chance (SHAP = -1.829)"", ""'ExitRates' decreased the purchase chance (SHAP = -1.030)""]",BROWSER,0
0.0032,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.448)"", ""'Month_May' decreased the purchase chance (SHAP = -2.159)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.629)""]",BROWSER,0
0.0059,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.601)"", ""'Month_May' decreased the purchase chance (SHAP = -2.289)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.264)""]",BROWSER,0
0.2174,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.839)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.600)"", ""'Browser_6' decreased the purchase chance (SHAP = -0.401)""]",BROWSER,0
0.005,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.377)"", ""'Month_May' decreased the purchase chance (SHAP = -2.310)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.225)""]",BROWSER,0
0.1617,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.266)"", ""'Informational_Duration' decreased the purchase chance (SHAP = -0.336)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.328)""]",BROWSER,0
0.7814,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'Region_5' decreased the purchase chance (SHAP = -1.174)"", ""'PageValues' increased the purchase chance (SHAP = +0.960)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.782)""]",BUYER,1
0.0074,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'Month_Mar' decreased the purchase chance (SHAP = -2.257)"", ""'PageValues' decreased the purchase chance (SHAP = -2.113)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.495)""]",BROWSER,0
0.8768,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +1.121)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.692)"", ""'BounceRates' increased the purchase chance (SHAP = +0.340)""]",BUYER,1
0.2123,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.602)"", ""'Month_May' increased the purchase chance (SHAP = +0.288)"", ""'Month_Mar' increased the purchase chance (SHAP = +0.219)""]",BROWSER,0
0.3433,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.681)"", ""'Month_May' increased the purchase chance (SHAP = +0.362)"", ""'Month_Mar' increased the purchase chance (SHAP = +0.277)""]",BROWSER,0
0.1269,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.100)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.458)"", ""'ProductRelated' decreased the purchase chance (SHAP = -0.328)""]",BROWSER,0
0.8227,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +1.339)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.691)"", ""'Informational_Duration' decreased the purchase chance (SHAP = -0.319)""]",BUYER,1
0.003,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.542)"", ""'Month_May' decreased the purchase chance (SHAP = -2.383)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.335)""]",BROWSER,0
0.0142,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.061)"", ""'ExitRates' decreased the purchase chance (SHAP = -1.418)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.241)""]",BROWSER,0
0.1219,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.112)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.257)"", ""'Month_May' increased the purchase chance (SHAP = +0.249)""]",BROWSER,0
0.0018,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.677)"", ""'Month_May' decreased the purchase chance (SHAP = -2.093)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.557)""]",BROWSER,0
0.7271,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +1.428)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.357)"", ""'ExitRates' increased the purchase chance (SHAP = +0.225)""]",BROWSER,0
0.5491,MEDIUM,10% Personalised Discount Coupon,Send a discount code to the user's registered email.,5.0,"[""'PageValues' increased the purchase chance (SHAP = +1.512)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.351)"", ""'BounceRates' decreased the purchase chance (SHAP = -0.311)""]",BROWSER,0
0.1212,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.002)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.448)"", ""'ProductRelated' decreased the purchase chance (SHAP = -0.374)""]",BROWSER,0
0.0049,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.641)"", ""'Month_May' decreased the purchase chance (SHAP = -2.342)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.268)""]",BROWSER,0
0.0472,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.116)"", ""'Browser_7' decreased the purchase chance (SHAP = -0.801)"", ""'Month_May' increased the purchase chance (SHAP = +0.249)""]",BROWSER,0
0.2841,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.677)"", ""'Month_May' increased the purchase chance (SHAP = +0.331)"", ""'Administrative' increased the purchase chance (SHAP = +0.252)""]",BROWSER,0
0.0039,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'Month_May' decreased the purchase chance (SHAP = -2.414)"", ""'PageValues' decreased the purchase chance (SHAP = -2.256)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.460)""]",BROWSER,0
0.0112,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.506)"", ""'Month_Mar' decreased the purchase chance (SHAP = -2.244)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.296)""]",BROWSER,0
0.8386,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +1.453)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.307)"", ""'Informational_Duration' decreased the purchase chance (SHAP = -0.263)""]",BROWSER,0
0.1093,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.682)"", ""'TrafficType_3' decreased the purchase chance (SHAP = -0.498)"", ""'ProductRelated' decreased the purchase chance (SHAP = -0.216)""]",BROWSER,0
0.0033,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.283)"", ""'Month_May' decreased the purchase chance (SHAP = -2.244)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.324)""]",BROWSER,0
0.0938,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.705)"", ""'Month_Oct' increased the purchase chance (SHAP = +0.691)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.548)""]",BROWSER,0
0.3221,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.154)"", ""'Month_May' increased the purchase chance (SHAP = +0.294)"", ""'Month_Mar' increased the purchase chance (SHAP = +0.212)""]",BROWSER,0
0.0957,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.949)"", ""'ProductRelated_Duration' decreased the purchase chance (SHAP = -0.283)"", ""'Month_May' increased the purchase chance (SHAP = +0.280)""]",BROWSER,0
0.0141,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.015)"", ""'ExitRates' decreased the purchase chance (SHAP = -1.435)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.215)""]",BROWSER,0
0.0118,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'ExitRates' decreased the purchase chance (SHAP = -1.959)"", ""'PageValues' decreased the purchase chance (SHAP = -1.898)"", ""'ProductRelated' increased the purchase chance (SHAP = +0.389)""]",BROWSER,0
0.1292,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.506)"", ""'Month_May' increased the purchase chance (SHAP = +0.315)"", ""'TrafficType_3' decreased the purchase chance (SHAP = -0.278)""]",BROWSER,0
0.0051,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.530)"", ""'Month_May' decreased the purchase chance (SHAP = -2.417)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.362)""]",BROWSER,0
0.004,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'Month_May' decreased the purchase chance (SHAP = -2.521)"", ""'PageValues' decreased the purchase chance (SHAP = -2.322)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.375)""]",BROWSER,0
0.0888,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.734)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.416)"", ""'TrafficType_3' decreased the purchase chance (SHAP = -0.355)""]",BROWSER,0
0.2971,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.552)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.539)"", ""'ProductRelated' decreased the purchase chance (SHAP = -0.233)""]",BROWSER,0
0.8538,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +3.685)"", ""'Month_May' decreased the purchase chance (SHAP = -0.942)"", ""'Region_4' decreased the purchase chance (SHAP = -0.382)""]",BUYER,1
0.2401,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.782)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.426)"", ""'ProductRelated' decreased the purchase chance (SHAP = -0.320)""]",BROWSER,0
0.6581,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' decreased the purchase chance (SHAP = -1.241)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.817)"", ""'TrafficType_10' increased the purchase chance (SHAP = +0.358)""]",BROWSER,0
0.2831,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.481)"", ""'Month_May' increased the purchase chance (SHAP = +0.345)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.272)""]",BROWSER,0
0.0016,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.544)"", ""'Month_May' decreased the purchase chance (SHAP = -1.984)"", ""'ExitRates' decreased the purchase chance (SHAP = -1.477)""]",BROWSER,0
0.0283,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.864)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.607)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.394)""]",BROWSER,0
0.918,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +2.576)"", ""'BounceRates' increased the purchase chance (SHAP = +0.311)"", ""'Region_4' decreased the purchase chance (SHAP = -0.283)""]",BUYER,1
0.0021,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.808)"", ""'Month_May' decreased the purchase chance (SHAP = -2.088)"", ""'Region_5' decreased the purchase chance (SHAP = -0.476)""]",BROWSER,0
0.0042,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'Month_May' decreased the purchase chance (SHAP = -2.552)"", ""'PageValues' decreased the purchase chance (SHAP = -2.318)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.319)""]",BROWSER,0
0.0013,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.479)"", ""'Month_May' decreased the purchase chance (SHAP = -2.105)"", ""'ExitRates' decreased the purchase chance (SHAP = -1.116)""]",BROWSER,0
0.8497,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +2.469)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.298)"", ""'OperatingSystems_4' decreased the purchase chance (SHAP = -0.225)""]",BROWSER,0
0.1575,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' increased the purchase chance (SHAP = +1.513)"", ""'Month_May' decreased the purchase chance (SHAP = -1.220)"", ""'SpecialDay' decreased the purchase chance (SHAP = -0.548)""]",BROWSER,0
0.0884,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.118)"", ""'ProductRelated_Duration' decreased the purchase chance (SHAP = -0.304)"", ""'Month_May' increased the purchase chance (SHAP = +0.277)""]",BROWSER,0
0.1855,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.079)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.475)"", ""'Month_May' increased the purchase chance (SHAP = +0.188)""]",BUYER,1
0.3821,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.632)"", ""'Month_May' increased the purchase chance (SHAP = +0.371)"", ""'Month_Mar' increased the purchase chance (SHAP = +0.284)""]",BROWSER,0
0.0685,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.160)"", ""'Month_May' increased the purchase chance (SHAP = +0.235)"", ""'Month_Oct' decreased the purchase chance (SHAP = -0.207)""]",BROWSER,0
0.0034,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.728)"", ""'Month_May' decreased the purchase chance (SHAP = -2.019)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.325)""]",BROWSER,0
0.1466,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.948)"", ""'Month_Oct' decreased the purchase chance (SHAP = -0.310)"", ""'Month_May' increased the purchase chance (SHAP = +0.296)""]",BROWSER,0
0.0966,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.212)"", ""'TrafficType_3' decreased the purchase chance (SHAP = -0.429)"", ""'ProductRelated' decreased the purchase chance (SHAP = -0.310)""]",BROWSER,0
0.0191,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.721)"", ""'ExitRates' decreased the purchase chance (SHAP = -1.536)"", ""'Administrative_Duration' decreased the purchase chance (SHAP = -0.597)""]",BROWSER,0
0.7039,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +2.130)"", ""'BounceRates' decreased the purchase chance (SHAP = -0.837)"", ""'Month_Dec' decreased the purchase chance (SHAP = -0.295)""]",BROWSER,0
0.0048,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.877)"", ""'Month_May' decreased the purchase chance (SHAP = -2.227)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.319)""]",BROWSER,0
0.0043,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.395)"", ""'Month_May' decreased the purchase chance (SHAP = -2.241)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.340)""]",BROWSER,0
